model,d0,theta10,theta20,d_final,theta1_final,theta2_final,F_d,F_theta1,F_theta2
first_half,1.5,-3.141592653589793,0.6283185307179586,2.5484104,2.465131,-0.30347204,0.0002784729,5.364418e-05,0.00036811197
first_half,1.5,-3.141592653589793,1.2566370614359172,1.7112923,0.11253381,-2.4988549,-6.365776e-05,5.030632e-05,0.00038560276
first_half,1.5,-3.141592653589793,1.8849555921538759,0.9004711,-0.15864849,2.3440573,-0.000531435,-6.389618e-05,-1.8265891e-05
first_half,1.5,-3.141592653589793,2.5132741228718345,10.453742,-2.9609425,0.27530718,0.00047016144,-5.722046e-06,0.00032815593
first_half,1.5,-2.5132741228718345,-3.141592653589793,4.8426356,2.109854,0.09295344,-2.7001863,-0.3737793,0.87104654
first_half,1.5,-2.5132741228718345,-2.5132741228718345,2.062996,2.0955117,0.6558068,0.3929386,-0.21778965,0.019082857
first_half,1.5,-2.5132741228718345,-1.8849555921538759,1.7103832,0.11203933,-2.4974554,-0.00420022,-0.0049996376,-0.006846159
first_half,1.5,-2.5132741228718345,-1.2566370614359172,2.5489292,2.4653919,-0.3031392,-0.00063323975,-0.00022959709,-0.00030736165
first_half,1.5,-2.5132741228718345,-0.6283185307179586,2.5482776,2.4650881,-0.30352283,0.00042057037,0.00022172928,0.0004318804
first_half,1.5,-2.5132741228718345,0.0,0.90047354,-0.15864825,2.3440564,-0.0005674362,-5.865097e-05,1.662679e-05
first_half,1.5,-2.5132741228718345,0.6283185307179586,1.7112927,0.11253333,-2.4988587,-5.4359436e-05,6.699562e-05,0.00039353024
first_half,1.5,-2.5132741228718345,1.2566370614359172,5.3501096,2.2592556,0.14405131,-0.36894035,0.00024700165,-0.009529158
first_half,1.5,-2.5132741228718345,1.8849555921538759,3.76407,2.7000892,1.7280614,6.597869,-0.19783854,-2.6008317
first_half,1.5,-2.5132741228718345,2.5132741228718345,10.45381,-2.960942,0.2753234,0.00041484833,0.00024080276,0.00033115892
first_half,1.5,-1.8849555921538759,-3.141592653589793,4.3795023,2.1348155,0.26316714,-0.66884136,0.5463486,0.6029997
first_half,1.5,-1.8849555921538759,-2.5132741228718345,1.2043906,1.434418,-0.7491586,3.8146973e-06,0.0,3.4437733e-05
first_half,1.5,-1.8849555921538759,-1.8849555921538759,2.0616696,2.0861533,0.561219,-0.08792496,-0.12784863,-0.11235729
first_half,1.5,-1.8849555921538759,-1.2566370614359172,2.7470546,-0.50946164,1.2015193,-9.847779,2.9361737,-1.0717509
first_half,1.5,-1.8849555921538759,-0.6283185307179586,2.5489173,2.465398,-0.3031447,-0.00053215027,-0.00030612946,-0.0003673664
first_half,1.5,-1.8849555921538759,0.0,10.453655,-2.960867,0.27530622,-0.0004415512,-0.0003080368,-0.00033643303
first_half,1.5,-1.8849555921538759,0.6283185307179586,10.453719,-2.9609597,0.27531838,0.00071811676,0.0002465248,0.00041056244
first_half,1.5,-1.8849555921538759,1.2566370614359172,2.1653478,-0.8155172,2.0888045,-0.00023412704,0.00023078918,-0.00028302727
first_half,1.5,-1.8849555921538759,1.8849555921538759,2.8911948,1.2416594,1.4202721,-2.8242168,0.9615936,-1.2665113
first_half,1.5,-1.8849555921538759,2.5132741228718345,4.5321693,2.1348479,0.2593205,-0.6109581,0.6486473,0.6562163
first_half,1.5,-1.2566370614359172,-3.141592653589793,0.9004724,-0.15864825,2.3440564,-0.00056028366,-6.771088e-05,1.7542541e-05
first_half,1.5,-1.2566370614359172,-2.5132741228718345,2.418389,1.592704,1.217797,-2.1260052,2.085846,-0.730768
first_half,1.5,-1.2566370614359172,-1.8849555921538759,1.7152178,0.11625075,-2.4950464,-0.029892683,-0.02320075,-0.0069323285
first_half,1.5,-1.2566370614359172,-1.2566370614359172,10.453954,-2.9609144,0.2753334,-5.6266785e-05,0.00027036667,0.00020539068
first_half,1.5,-1.2566370614359172,-0.6283185307179586,2.9273067,1.6585639,2.0742285,2.1485124,-1.5244594,-0.38175103
first_half,1.5,-1.2566370614359172,0.0,2.0429742,2.097368,0.55438256,0.0015659332,-0.0076580048,-0.002871446
first_half,1.5,-1.2566370614359172,0.6283185307179586,2.165366,-0.8155062,2.0887744,-0.00070238113,0.00033450127,-0.00020829141
first_half,1.5,-1.2566370614359172,1.2566370614359172,1.7112921,0.112532616,-2.498859,-4.6014786e-05,7.176399e-05,0.0003952426
first_half,1.5,-1.2566370614359172,1.8849555921538759,2.1653748,-0.81550217,2.0887635,-0.0008711815,0.00037789345,-0.00018385309
first_half,1.5,-1.2566370614359172,2.5132741228718345,0.90047383,-0.15864825,2.3440564,-0.00056505203,-5.4359436e-05,2.8146844e-05
first_half,1.5,-0.6283185307179586,-3.141592653589793,2.16536,-0.8155148,2.088793,-0.00040626526,0.00029063225,-0.0002754899
first_half,1.5,-0.6283185307179586,-2.5132741228718345,2.7036588,1.3367336,1.3343718,-2.4057076,1.7294369,-1.0820404
first_half,1.5,-0.6283185307179586,-1.8849555921538759,2.598306,1.4169939,1.2886465,-2.209196,2.0244675,-0.9527533
first_half,1.5,-0.6283185307179586,-1.2566370614359172,2.840224,1.2580483,1.3969142,-2.7453942,1.1929398,-1.2155452
first_half,1.5,-0.6283185307179586,-0.6283185307179586,1.2043903,1.4344189,-0.7491586,1.6212463e-05,-4.196167e-05,-3.9876373e-05
first_half,1.5,-0.6283185307179586,0.0,3.382614,2.3792684,0.12575245,-0.92736435,0.25040054,0.061252013
first_half,1.5,-0.6283185307179586,0.6283185307179586,3.4931126,2.3766177,0.11806679,-0.91636467,0.17066383,0.011266759
first_half,1.5,-0.6283185307179586,1.2566370614359172,0.9004724,-0.15864825,2.3440564,-0.00056028366,-6.771088e-05,1.7542541e-05
first_half,1.5,-0.6283185307179586,1.8849555921538759,0.90046906,-0.15864873,2.3440564,-0.00055861473,-5.1498413e-05,3.103871e-05
first_half,1.5,-0.6283185307179586,2.5132741228718345,2.165348,-0.8155174,2.0888054,-0.00022506714,0.00023150444,-0.00028687157
first_half,1.5,0.0,-3.141592653589793,1.7112923,0.11253381,-2.4988549,-6.365776e-05,5.030632e-05,0.00038560276
first_half,1.5,0.0,-2.5132741228718345,1.7113041,0.1125443,-2.4988527,-0.00011181831,2.0503998e-05,0.00040488638
first_half,1.5,0.0,-1.8849555921538759,1.7112917,0.112532616,-2.4988556,-6.246567e-05,5.877018e-05,0.00039057957
first_half,1.5,0.0,-1.2566370614359172,1.7112921,0.11253214,-2.498858,-5.4597855e-05,6.41346e-05,0.0003921578
first_half,1.5,0.0,-0.6283185307179586,1.7112923,0.112532616,-2.498857,-5.6266785e-05,5.9843063e-05,0.00039287313
first_half,1.5,0.0,0.0,0.90047276,-0.15864825,2.3440564,-0.0005669594,-6.866455e-05,1.5635193e-05
first_half,1.5,0.0,0.6283185307179586,2.9425466,1.4138062,1.8096449,-0.28895998,-1.1120322,-2.2271907
first_half,1.5,0.0,1.2566370614359172,1.2043906,1.4344189,-0.7491572,-1.6212463e-05,-7.6293945e-06,-4.3527925e-05
first_half,1.5,0.0,1.8849555921538759,1.7112916,0.112532616,-2.4988565,-5.722046e-05,5.9962273e-05,0.00038636112
first_half,1.5,0.0,2.5132741228718345,1.7112919,0.11253309,-2.4988556,-6.4373016e-05,4.9352646e-05,0.00038103637
first_half,1.5,0.6283185307179586,-3.141592653589793,1.7112923,0.11253238,-2.4988585,-5.2928925e-05,6.484985e-05,0.0003977354
first_half,1.5,0.6283185307179586,-2.5132741228718345,1.7112906,0.11253142,-2.4988575,-6.198883e-05,5.7816505e-05,0.00039044704
first_half,1.5,0.6283185307179586,-1.8849555921538759,1.7112927,0.11253238,-2.4988596,-4.8160553e-05,7.6532364e-05,0.00039536058
first_half,1.5,0.6283185307179586,-1.2566370614359172,1.2043904,1.434418,-0.7491572,-2.2888184e-05,3.528595e-05,1.830751e-05
first_half,1.5,0.6283185307179586,-0.6283185307179586,1.2043897,1.4344194,-0.7491579,7.6293945e-06,-3.1471252e-05,-6.546743e-05
first_half,1.5,0.6283185307179586,0.0,1.2043883,1.4344194,-0.7491574,2.193451e-05,-9.536743e-06,-4.5628873e-05
first_half,1.5,0.6283185307179586,0.6283185307179586,10.453631,-2.9608684,0.27530026,-0.00040769577,-0.00039577484,-0.00032773224
first_half,1.5,0.6283185307179586,1.2566370614359172,2.108427,2.2167075,1.762933,2.3900223,-0.052188396,2.4039226
first_half,1.5,0.6283185307179586,1.8849555921538759,0.9004736,-0.15864825,2.3440564,-0.00056409836,-6.532669e-05,1.6702752e-05
first_half,1.5,0.6283185307179586,2.5132741228718345,1.7112924,0.11253309,-2.4988568,-5.3167343e-05,5.733967e-05,0.00039325052
first_half,1.5,1.2566370614359172,-3.141592653589793,1.7112923,0.11253309,-2.4988577,-5.2928925e-05,6.151199e-05,0.00039717695
first_half,1.5,1.2566370614359172,-2.5132741228718345,1.7112936,0.112535,-2.498856,-6.389618e-05,4.208088e-05,0.00039812867
first_half,1.5,1.2566370614359172,-1.8849555921538759,1.7112921,0.11253214,-2.4988577,-5.2452087e-05,6.186962e-05,0.00038924033
first_half,1.5,1.2566370614359172,-1.2566370614359172,1.2043899,1.4344189,-0.74915767,0.0,-7.6293945e-06,-4.302941e-05
first_half,1.5,1.2566370614359172,-0.6283185307179586,1.20439,1.4344189,-0.7491574,-9.536743e-06,-1.335144e-05,-3.9125025e-05
first_half,1.5,1.2566370614359172,0.0,1.2043895,1.4344189,-0.7491591,3.2424927e-05,-3.9100647e-05,-3.8662954e-05
first_half,1.5,1.2566370614359172,0.6283185307179586,3.4718409,-2.2511053,0.5146053,0.00042819977,0.0004439354,0.00041262264
first_half,1.5,1.2566370614359172,1.2566370614359172,2.044551,2.0975997,0.5552037,0.0044994354,-0.021245956,-0.007832115
first_half,1.5,1.2566370614359172,1.8849555921538759,2.4501452,1.5856698,1.2180221,-2.1155949,2.0418644,-0.7673422
first_half,1.5,1.2566370614359172,2.5132741228718345,0.9004744,-0.15864825,2.3440564,-0.0005760193,-6.723404e-05,2.2424798e-05
first_half,1.5,1.8849555921538759,-3.141592653589793,1.2043905,1.434418,-0.74915886,6.67572e-06,1.9073486e-06,1.869391e-05
first_half,1.5,1.8849555921538759,-2.5132741228718345,1.7112923,0.11253309,-2.4988565,-5.722046e-05,6.1154366e-05,0.0003867123
first_half,1.5,1.8849555921538759,-1.8849555921538759,1.2043893,1.4344194,-0.74915814,2.0980835e-05,-3.528595e-05,-6.249504e-05
