d,theta1,theta2
2.170886039733886719e+00,1.536000013351440430e+00,-2.082999944686889648e+00
2.170886039733886719e+00,2.617000102996826172e+00,8.699999749660491943e-02
2.221518993377685547e+00,-2.380000054836273193e-01,2.711999893188476562e+00
2.221518993377685547e+00,-2.380000054836273193e-01,2.713000059127807617e+00
2.221518993377685547e+00,5.410000085830688477e-01,-3.100000023841857910e-01
2.221518993377685547e+00,1.531999945640563965e+00,-2.069999933242797852e+00
2.221518993377685547e+00,2.609999895095825195e+00,9.300000220537185669e-02
2.272151947021484375e+00,-2.450000047683715820e-01,2.721999883651733398e+00
2.272151947021484375e+00,2.890000045299530029e-01,-2.193000078201293945e+00
2.272151947021484375e+00,2.899999916553497314e-01,-2.193000078201293945e+00
2.272151947021484375e+00,5.809999704360961914e-01,-2.989999949932098389e-01
2.272151947021484375e+00,1.526999950408935547e+00,-2.058000087738037109e+00
2.272151947021484375e+00,2.058000087738037109e+00,2.088999986648559570e+00
2.272151947021484375e+00,2.602999925613403320e+00,9.899999946355819702e-02
2.322784900665283203e+00,-2.500000000000000000e-01,2.730000019073486328e+00
2.322784900665283203e+00,6.219999790191650391e-01,-2.899999916553497314e-01
2.322784900665283203e+00,1.523000001907348633e+00,-2.046999931335449219e+00
2.322784900665283203e+00,1.980999946594238281e+00,2.121999979019165039e+00
2.322784900665283203e+00,2.595000028610229492e+00,1.049999967217445374e-01
2.373417615890502930e+00,-2.529999911785125732e-01,2.736999988555908203e+00
2.373417615890502930e+00,6.639999747276306152e-01,-2.829999923706054688e-01
2.373417615890502930e+00,1.519000053405761719e+00,-2.036000013351440430e+00
2.373417615890502930e+00,1.932000041007995605e+00,2.148000001907348633e+00
2.373417615890502930e+00,2.586999893188476562e+00,1.099999994039535522e-01
2.424050569534301758e+00,-2.540000081062316895e-01,2.743000030517578125e+00
2.424050569534301758e+00,7.089999914169311523e-01,-2.779999971389770508e-01
2.424050569534301758e+00,1.514999985694885254e+00,-2.026999950408935547e+00
2.424050569534301758e+00,1.898000001907348633e+00,2.171000003814697266e+00
2.424050569534301758e+00,2.578999996185302734e+00,1.150000020861625671e-01
2.474683523178100586e+00,-2.529999911785125732e-01,2.746999979019165039e+00
2.474683523178100586e+00,7.590000033378601074e-01,-2.750000059604644775e-01
2.474683523178100586e+00,1.511000037193298340e+00,-2.017999887466430664e+00
2.474683523178100586e+00,1.873999953269958496e+00,2.194000005722045898e+00
2.474683523178100586e+00,2.571000099182128906e+00,1.190000027418136597e-01
2.525316476821899414e+00,-2.500000000000000000e-01,2.750000000000000000e+00
2.525316476821899414e+00,8.209999799728393555e-01,-2.770000100135803223e-01
2.525316476821899414e+00,1.506000041961669922e+00,-2.009000062942504883e+00
2.525316476821899414e+00,2.562000036239624023e+00,1.230000033974647522e-01
2.575949430465698242e+00,-2.469999939203262329e-01,2.752000093460083008e+00
2.575949430465698242e+00,1.501000046730041504e+00,-2.000999927520751953e+00
