d,theta1,theta2
3.428571462631225586e+00,-1.965000033378601074e+00,-4.800000041723251343e-02
3.428571462631225586e+00,-1.042999982833862305e+00,-1.330000013113021851e-01
3.428571462631225586e+00,1.809999942779541016e-01,-1.099999994039535522e-02
3.428571462631225586e+00,1.549000024795532227e+00,1.513000011444091797e+00
3.428571462631225586e+00,1.549000024795532227e+00,1.514000058174133301e+00
3.500000000000000000e+00,-2.013999938964843750e+00,-4.100000113248825073e-02
3.500000000000000000e+00,-1.059999942779541016e+00,-1.250000000000000000e-01
3.500000000000000000e+00,1.749999970197677612e-01,-8.000000379979610443e-03
3.500000000000000000e+00,1.460000038146972656e+00,1.465999960899353027e+00
3.571428537368774414e+00,-2.055000066757202148e+00,-3.799999877810478210e-02
3.571428537368774414e+00,-1.072999954223632812e+00,-1.129999980330467224e-01
3.571428537368774414e+00,1.689999997615814209e-01,-4.000000189989805222e-03
3.571428537368774414e+00,1.401000022888183594e+00,1.437000036239624023e+00
3.642857074737548828e+00,-2.088999986648559570e+00,-3.700000047683715820e-02
3.642857074737548828e+00,-2.088000059127807617e+00,-3.700000047683715820e-02
3.642857074737548828e+00,-1.080000042915344238e+00,-1.010000035166740417e-01
3.642857074737548828e+00,1.650000065565109253e-01,-2.000000094994902611e-03
3.642857074737548828e+00,1.141000032424926758e+00,3.000000119209289551e-01
3.642857074737548828e+00,1.350999951362609863e+00,1.412999987602233887e+00
3.714285612106323242e+00,-2.115999937057495117e+00,-3.700000047683715820e-02
3.714285612106323242e+00,-1.083999991416931152e+00,-8.799999952316284180e-02
3.714285612106323242e+00,1.609999984502792358e-01,1.000000047497451305e-03
3.714285612106323242e+00,1.222000002861022949e+00,2.280000001192092896e-01
3.714285612106323242e+00,1.304999947547912598e+00,1.389000058174133301e+00
3.785714387893676758e+00,-2.140000104904174805e+00,-3.700000047683715820e-02
3.785714387893676758e+00,-1.083999991416931152e+00,-7.699999958276748657e-02
3.785714387893676758e+00,-5.600000172853469849e-02,-2.910000085830688477e+00
3.785714387893676758e+00,-5.600000172853469849e-02,-2.908999919891357422e+00
3.785714387893676758e+00,1.570000052452087402e-01,3.000000026077032089e-03
3.785714387893676758e+00,1.226999998092651367e+00,1.879999935626983643e-01
3.785714387893676758e+00,1.258999943733215332e+00,1.363999962806701660e+00
3.857142925262451172e+00,-2.158999919891357422e+00,-3.799999877810478210e-02
3.857142925262451172e+00,-1.082999944686889648e+00,-6.700000166893005371e-02
3.857142925262451172e+00,-5.200000107288360596e-02,-2.953000068664550781e+00
3.857142925262451172e+00,1.539999991655349731e-01,4.999999888241291046e-03
3.857142925262451172e+00,1.207000017166137695e+00,1.335000038146972656e+00
3.857142925262451172e+00,1.222000002861022949e+00,1.700000017881393433e-01
3.928571462631225586e+00,-2.176000118255615234e+00,-3.900000080466270447e-02
3.928571462631225586e+00,-1.082000017166137695e+00,-5.799999833106994629e-02
3.928571462631225586e+00,-5.000000074505805969e-02,-2.980999946594238281e+00
3.928571462631225586e+00,1.509999930858612061e-01,7.000000216066837311e-03
3.928571462631225586e+00,1.215999960899353027e+00,1.580000072717666626e-01
4.000000000000000000e+00,-2.190999984741210938e+00,-3.999999910593032837e-02
4.000000000000000000e+00,-1.080000042915344238e+00,-5.000000074505805969e-02
4.000000000000000000e+00,-4.699999839067459106e-02,-3.006000041961669922e+00
4.000000000000000000e+00,-4.699999839067459106e-02,-3.005000114440917969e+00
4.000000000000000000e+00,1.490000039339065552e-01,8.999999612569808960e-03
4.000000000000000000e+00,1.210000038146972656e+00,1.490000039339065552e-01
