d,theta1,theta2
2.727848052978515625e+00,1.600000075995922089e-02,-2.573999881744384766e+00
2.727848052978515625e+00,2.555999994277954102e+00,1.230000033974647522e-01
2.778481006622314453e+00,-2.229000091552734375e+00,-1.289999932050704956e-01
2.778481006622314453e+00,1.499999966472387314e-02,-2.569999933242797852e+00
2.778481006622314453e+00,2.539000034332275391e+00,1.289999932050704956e-01
2.778481006622314453e+00,2.539999961853027344e+00,1.289999932050704956e-01
2.829113960266113281e+00,-2.213999986648559570e+00,-1.369999945163726807e-01
2.829113960266113281e+00,1.300000026822090149e-02,-2.566999912261962891e+00
2.829113960266113281e+00,2.519999980926513672e+00,1.350000053644180298e-01
2.879746913909912109e+00,-2.194999933242797852e+00,-1.459999978542327881e-01
2.879746913909912109e+00,-1.233999967575073242e+00,-1.319999992847442627e-01
2.879746913909912109e+00,9.999999776482582092e-03,-2.562000036239624023e+00
2.879746913909912109e+00,2.496999979019165039e+00,1.420000046491622925e-01
2.930379629135131836e+00,-2.173000097274780273e+00,-1.560000032186508179e-01
2.930379629135131836e+00,-1.207000017166137695e+00,-8.600000292062759399e-02
2.930379629135131836e+00,8.000000379979610443e-03,-2.558000087738037109e+00
2.930379629135131836e+00,2.470000028610229492e+00,1.490000039339065552e-01
2.981012582778930664e+00,-2.142999887466430664e+00,-1.679999977350234985e-01
2.981012582778930664e+00,-7.969999909400939941e-01,4.899999871850013733e-02
2.981012582778930664e+00,-7.960000038146972656e-01,4.899999871850013733e-02
2.981012582778930664e+00,6.000000052154064178e-03,-2.552999973297119141e+00
2.981012582778930664e+00,1.529000043869018555e+00,1.884999990463256836e+00
2.981012582778930664e+00,2.437999963760375977e+00,1.570000052452087402e-01
3.031645536422729492e+00,-2.101000070571899414e+00,-1.840000003576278687e-01
3.031645536422729492e+00,-5.509999990463256836e-01,4.899999871850013733e-02
3.031645536422729492e+00,-5.500000119209289551e-01,4.899999871850013733e-02
3.031645536422729492e+00,3.000000026077032089e-03,-2.548000097274780273e+00
3.031645536422729492e+00,1.557999968528747559e+00,1.843000054359436035e+00
3.031645536422729492e+00,2.401000022888183594e+00,1.650000065565109253e-01
3.082278490066528320e+00,-2.032999992370605469e+00,-2.070000022649765015e-01
3.082278490066528320e+00,-2.032000064849853516e+00,-2.070000022649765015e-01
3.082278490066528320e+00,-4.379999935626983643e-01,3.999999910593032837e-02
3.082278490066528320e+00,1.000000047497451305e-03,-2.542000055313110352e+00
