d0,theta10,theta20,d_final,theta1_final,theta2_final,F_d,F_theta1,F_theta2
1.5,-3.141592653589793,0.6283185307179586,2.9332714,-0.7082617,-1.4079942,-6.1069894,-2.3780951,-4.2399507
1.5,-3.141592653589793,1.2566370614359172,2.5198398,2.7676594,0.09225845,0.0008881679,4.1349133e-05,-0.00014899878
1.5,-3.141592653589793,1.8849555921538759,2.5198405,2.7676494,0.09226155,0.0007408427,0.00010001285,-0.00014047085
1.5,-3.141592653589793,2.5132741228718345,2.519835,2.7676432,0.0922637,0.0006512542,0.0001469996,-0.00014851632
1.5,-2.5132741228718345,-3.141592653589793,5.9913254,0.067365885,-2.1851513,-1.0959263,-0.2500605,1.3575745
1.5,-2.5132741228718345,-2.5132741228718345,2.5198376,2.7676399,0.092265606,0.00060712756,0.00018251286,-0.00014731761
1.5,-2.5132741228718345,-1.8849555921538759,2.5198336,2.7676442,0.0922637,0.00066691963,0.00014857364,-0.00015245166
1.5,-2.5132741228718345,-1.2566370614359172,2.5198526,2.767609,0.092273474,0.00017939071,0.00029659338,-0.000111201574
1.5,-2.5132741228718345,-0.6283185307179586,2.519838,2.7676418,0.092264414,0.00063653535,0.00015514757,-0.00013674548
1.5,-2.5132741228718345,0.0,2.519839,2.7676618,0.09225869,0.00091882574,6.301369e-05,-0.00015612855
1.5,-2.5132741228718345,0.6283185307179586,2.5198417,2.767605,0.092273474,0.00010927194,0.00028947747,-0.00010365862
1.5,-2.5132741228718345,1.2566370614359172,2.5198352,2.7676451,0.0922637,0.0006750876,0.0001443794,-0.00014768897
1.5,-2.5132741228718345,1.8849555921538759,2.5198426,2.7676466,0.09226203,0.00070736767,9.857167e-05,-0.00013337054
1.5,-2.5132741228718345,2.5132741228718345,2.5198405,2.7676442,0.09226346,0.0006706751,0.00013202893,-0.00014772317
1.5,-1.8849555921538759,-3.141592653589793,2.9824865,0.1519239,-2.212205,-0.06121546,-0.58419776,-0.25822875
1.5,-1.8849555921538759,-2.5132741228718345,3.0016117,0.22140455,-2.1848776,-0.289303,-0.80983025,-0.29539454
1.5,-1.8849555921538759,-1.8849555921538759,2.5198321,2.7676432,0.09226513,0.0006455624,0.00018790986,-0.00014010709
1.5,-1.8849555921538759,-1.2566370614359172,2.5198333,2.7676423,0.09226489,0.00063790986,0.0001602982,-0.00015193589
1.5,-1.8849555921538759,-0.6283185307179586,2.5200605,2.7675316,0.09226608,-0.0007031067,-0.00018068227,0.00014910792
1.5,-1.8849555921538759,0.0,2.5198429,2.7676055,0.092273235,0.00011555841,0.0002978694,-0.00011322956
1.5,-1.8849555921538759,0.6283185307179586,3.7043657,-0.6046047,-2.6656654,7.766327,1.1151968,-4.904702
1.5,-1.8849555921538759,1.2566370614359172,5.4630485,-0.1956172,2.5715716,4.4590487,1.1494286,-2.2434313
1.5,-1.8849555921538759,1.8849555921538759,2.5198538,2.7676003,0.09227514,5.1168336e-05,0.0003096381,-0.000105360814
